STT	MA HANG	TEN HANG	GIA	SO LUONG	NGAY MUA	THANH TIEN	
1	2215011	Ban chai P/S	9000	8	29/03/2022	72000
2	2213185	Ban chai cha san	11000	4	29/03/2022	44000
3	2213894	Luoi cao rau	10000	9	29/03/2022	90000
4	2215817	Dao cao rau	5000	7	29/03/2022	35000
5	1021695	Kem danh rang	21000	9	29/03/2022	189000
6	1044273	Socola hanh nhan	356000	2	29/03/2022	712000
7	1045649	Banh ngu coc	170000	1	29/03/2022	170000
8	1031304	Banh quy kem bo	9000	6	29/03/2022	54000
9	1032778	Banh xop	39000	5	29/03/2022	195000
10	1039608	Banh oreo	17000	1	29/03/2022	17000
11	2154470	Xoai	160000	2	17/03/2022	320000
12	2150721	Quyt	50000	1	17/03/2022	50000
13	2158154	Oua hau	10000	10	17/03/2022	100000
14	2154057	Thit heo	150000	1	13/04/2022	150000
15	1160683	Nuoc mam Nha Trang	55000	6	20/03/2022	330000
16	1164531	Nuoc tuong Maggi	29300	1	20/03/2022	29300
17	1163479	Nuoc tuong chinsu	24000	2	20/03/2022	48000
18	1163554	Tuong ot chisu	12000	9	20/03/2022	108000
19	1161023	Tuong ot Knor	15000	3	20/03/2022	45000
20	2075115	Strongbow 330mI	430000	10	25/03/2022	4300000
21	2075446	Bia Budweiser 330ml	435000	6	25/03/2022	2610000
22	2077748	Nuoc Aquafina 500ml	99000	8	25/03/2022	792000
